Name,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"CHICKEN,BROILERS OR FRYERS,GIBLETS,COOKED,SIMMERED",Non-vegetarian,Meat products,4.77,0.95,25.85,150.13
"CHICKEN,GIZZARD,ALL CLASSES,RAW",Non-vegetarian,Meat products,4.19,0.58,18.19,112.79
"CHICKEN,GIZZARD,ALL CLASSES,COOKED,SIMMERED",Non-vegetarian,Meat products,3.66,1.14,27.15,146.1
"CHICKEN,HEART,ALL CLASSES,RAW",Non-vegetarian,Meat products,9.33,0.71,15.55,149.01
"CHICKEN,HEART,ALL CLASSES,COOKED,SIMMERED",Non-vegetarian,Meat products,7.92,0.1,26.41,177.32
"CHICKEN,LIVER,ALL CLASSES,RAW",Non-vegetarian,Meat products,3.86,3.42,17.97,120.3
"CHICKEN,LIVER,ALL CLASSES,COOKED,SIMMERED",Non-vegetarian,Meat products,5.45,0.88,24.36,150.01
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKIN,RAW",Non-vegetarian,Meat products,11.07,0,20.27,180.71
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKIN,COOKED,FRIED,BATTER",Non-vegetarian,Meat products,15.44,9.5,23.55,271.16
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKIN,COOKED,FRIED,FLR",Non-vegetarian,Meat products,12.09,1.82,30.45,237.89
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,10.85,0,29.02,213.73
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKIN,COOKED,STEWED",Non-vegetarian,Meat products,9.97,0,26.14,194.29
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT&SKIN,RAW",Non-vegetarian,Meat products,18.34,0,16.69,231.82
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT&SKIN,COOKED,FRIED,BATTER",Non-vegetarian,Meat products,18.64,9.38,21.85,292.68
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT&SKIN,COOKED,FRIED,FLR",Non-vegetarian,Meat products,16.91,4.08,27.22,277.39
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,15.78,0,25.97,245.9
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT&SKIN,COOKED,STEWED",Non-vegetarian,Meat products,14.66,0,23.5,225.94
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT ONLY,RAW",Non-vegetarian,Meat products,1.65,0,23.2,107.65
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT ONLY,COOKED,FRIED",Non-vegetarian,Meat products,5.54,0.42,32.82,182.82
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,4.51,0,30.91,164.23
"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT ONLY,COOKED,STEWED",Non-vegetarian,Meat products,3.99,0,28.88,151.43
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,RAW",Non-vegetarian,Meat products,4.31,0,20.08,119.11
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,COOKED,FRIED",Non-vegetarian,Meat products,11.62,2.59,28.99,230.9
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,9.73,0,27.37,197.05
"CHICKEN,BROILERS OR FRYERS,DK MEAT,MEAT ONLY,COOKED,STEWED",Non-vegetarian,Meat products,8.98,0,25.97,184.7
"CHICKEN,BROILERS OR FRYERS,FAT,RAW",Non-vegetarian,Meat products,67.95,0,3.73,626.47
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKIN,RAW",Non-vegetarian,Meat products,28.74,0,14.05,314.86
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKIN,COOKED,FRIED,BATTER",Non-vegetarian,Meat products,21.91,10.25,21.97,326.07
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKIN,COOKED,FRIED,FLR",Non-vegetarian,Meat products,20.74,6.5,27.79,323.82
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,20.97,0,25.95,292.53
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKIN,COOKED,STEWED",Non-vegetarian,Meat products,18.14,0,22.18,251.98
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,RAW",Non-vegetarian,Meat products,5.92,0,19.56,131.52
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,COOKED,FRIED",Non-vegetarian,Meat products,15.32,5.68,29.99,280.56
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,13.16,0,28.19,231.2
"CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,COOKED,STEWED",Non-vegetarian,Meat products,11.19,0,25.31,201.95
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKIN,RAW",Non-vegetarian,Meat products,9.25,0,20.85,166.65
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKIN,COOKED,FRIED,BATTER",Non-vegetarian,Meat products,13.2,8.99,24.84,254.12
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKIN,COOKED,FRIED,FLR",Non-vegetarian,Meat products,8.87,1.64,31.84,213.75
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,7.78,0,29.8,189.22
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKIN,COOKED,STEWED",Non-vegetarian,Meat products,7.42,0,27.39,176.34
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,RAW",Non-vegetarian,Meat products,1.24,0,23.09,103.52
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,COOKED,FRIED",Non-vegetarian,Meat products,4.71,0.51,33.44,178.19
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,3.57,0,31.02,156.21
"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,COOKED,STEWED",Non-vegetarian,Meat products,3.03,0,28.98,143.19
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKIN,RAW",Non-vegetarian,Meat products,8.68,0,19.27,155.2
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKIN,COOKED,FRIED,BATTER",Non-vegetarian,Meat products,15.75,8.28,21.95,262.67
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKIN,COOKED,FRIED,FLR",Non-vegetarian,Meat products,13.72,1.63,26.96,237.84
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,11.15,0,27.03,208.47
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKIN,COOKED,STEWED",Non-vegetarian,Meat products,10.64,0,25.32,197.04
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT ONLY,RAW",Non-vegetarian,Meat products,3.42,0,20.59,113.14
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT ONLY,COOKED,FRIED",Non-vegetarian,Meat products,8.08,0,28.62,187.2
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,5.66,0,28.29,164.1
"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT ONLY,COOKED,STEWED",Non-vegetarian,Meat products,5.71,0,27.5,161.39
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKIN,RAW",Non-vegetarian,Meat products,12.12,0,18.15,181.68
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKIN,COOKED,FRIED,BATTER",Non-vegetarian,Meat products,16.17,8.72,21.77,267.49
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKIN,COOKED,FRIED,FLR",Non-vegetarian,Meat products,14.43,2.5,26.84,247.23
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,13.46,0,25.96,224.98
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKIN,COOKED,STEWED",Non-vegetarian,Meat products,12.92,0,24.17,212.96
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,RAW",Non-vegetarian,Meat products,3.81,0,20.13,114.81
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,COOKED,FRIED",Non-vegetarian,Meat products,9.32,0.65,28.38,200
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,8.43,0,27.03,183.99
"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,COOKED,STEWED",Non-vegetarian,Meat products,8.06,0,26.26,177.58
"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKIN,RAW",Non-vegetarian,Meat products,26.24,0,14.07,292.44
"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKIN,COOKED,FRIED,BATTER",Non-vegetarian,Meat products,23.52,8.7,19.82,325.76
"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKIN,COOKED,FRIED,FLR",Non-vegetarian,Meat products,23.61,4.24,24.01,325.49
"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKIN,COOKED SIMMERED",Non-vegetarian,Meat products,18.1,0,19.61,241.34
"CHICKEN,BROILERS OR FRYERS,NECK,MEAT ONLY,RAW",Non-vegetarian,Meat products,8.78,0,17.55,149.22
"CHICKEN,BROILERS OR FRYERS,NECK,MEAT ONLY,COOKED,FRIED",Non-vegetarian,Meat products,11.88,1.77,26.87,221.48
"CHICKEN,BROILERS OR FRYERS,NECK,MEAT ONLY,COOKED,SIMMERED",Non-vegetarian,Meat products,8.18,0,24.56,171.86
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKIN,RAW",Non-vegetarian,Meat products,15.25,0,17.27,206.33
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKIN,COOKED,FRIED,BATTER",Non-vegetarian,Meat products,16.53,9.08,21.61,271.53
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKIN,COOKED,FRIED,FLR",Non-vegetarian,Meat products,14.98,3.18,26.75,254.54
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,15.49,0,25.06,239.65
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKIN,COOKED,STEWED",Non-vegetarian,Meat products,14.74,0,23.26,225.7
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,RAW",Non-vegetarian,Meat products,3.91,0,19.65,113.79
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,COOKED,FRIED",Non-vegetarian,Meat products,10.3,1.18,28.18,210.14
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,10.88,0,25.94,201.68
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,COOKED,STEWED",Non-vegetarian,Meat products,9.79,0,25,188.11
"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKIN,RAW",Non-vegetarian,Meat products,15.97,0,18.33,217.05
"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKIN,COOKED,FRIED,BATTER",Non-vegetarian,Meat products,21.81,10.94,19.87,319.53
"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKIN,COOKED,FRIED,FLR",Non-vegetarian,Meat products,22.16,2.39,26.11,313.44
"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,19.46,0,26.86,282.58
"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKIN,COOKED,STEWED",Non-vegetarian,Meat products,16.82,0,22.78,242.5
"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,RAW",Non-vegetarian,Meat products,3.54,0,21.97,119.74
"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,COOKED,FRIED",Non-vegetarian,Meat products,9.15,0,30.15,202.95
"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,8.13,0,30.46,195.01
"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,COOKED,STEWED",Non-vegetarian,Meat products,7.18,0,27.18,173.34
"CHICKEN,ROASTING,MEAT&SKIN&GIBLETS&NECK,RAW",Non-vegetarian,Meat products,15.46,0.09,17.09,207.86
"CHICKEN,ROASTING,MEAT&SKIN&GIBLETS&NECK,COOKED,ROASTED",Non-vegetarian,Meat products,13.07,0.05,23.96,213.67
"CHICKEN,ROASTING,MEAT&SKIN,RAW",Non-vegetarian,Meat products,15.85,0,17.14,211.21
"CHICKEN,ROASTING,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,13.39,0,23.97,216.39
"CHICKEN,ROASTING,MEAT ONLY,RAW",Non-vegetarian,Meat products,2.7,0,20.33,105.62
"CHICKEN,ROASTING,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,6.63,0,25.01,159.71
"CHICKEN,ROASTING,GIBLETS,RAW",Non-vegetarian,Meat products,5.04,1.14,18.14,122.48
"CHICKEN,ROASTING,GIBLETS,COOKED,SIMMERED",Non-vegetarian,Meat products,5.22,0.86,26.77,157.5
"CHICKEN,ROASTING,LT MEAT,MEAT ONLY,RAW",Non-vegetarian,Meat products,1.63,0,22.2,103.47
"CHICKEN,ROASTING,LT MEAT,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,4.07,0,27.13,145.15
"CHICKEN,ROASTING,DK MEAT,MEAT ONLY,RAW",Non-vegetarian,Meat products,3.61,0,18.74,107.45
"CHICKEN,ROASTING,DK MEAT,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,8.75,0,23.25,171.75
"CHICKEN,STEWING,MEAT&SKIN,&GIBLETS&NECK,RAW",Non-vegetarian,Meat products,19.52,0.19,17.48,246.36
"CHICKEN,STEWING,MEAT&SKIN,&GIBLETS&NECK,COOKED,STEWED",Non-vegetarian,Meat products,18.03,0.01,26.53,268.43
"CHICKEN,STEWING,MEAT&SKIN,RAW",Non-vegetarian,Meat products,20.33,0,17.55,253.17
"CHICKEN,STEWING,MEAT&SKIN,COOKED,STEWED",Non-vegetarian,Meat products,18.87,0,26.88,277.35
"CHICKEN,STEWING,MEAT ONLY,RAW",Non-vegetarian,Meat products,6.32,0,21.26,141.92
"CHICKEN,STEWING,MEAT ONLY,COOKED,STEWED",Non-vegetarian,Meat products,11.89,0,30.42,228.69
"CHICKEN,STEWING,GIBLETS,RAW",Non-vegetarian,Meat products,9.21,2.13,17.89,162.97
"CHICKEN,STEWING,GIBLETS,COOKED,SIMMERED",Non-vegetarian,Meat products,9.3,0.11,25.73,187.06
"CHICKEN,STEWING,LT MEAT,MEAT ONLY,RAW",Non-vegetarian,Meat products,4.21,0,23.1,130.29
"CHICKEN,STEWING,LT MEAT,MEAT ONLY,COOKED,STEWED",Non-vegetarian,Meat products,7.98,0,33.04,203.98
"CHICKEN,STEWING,DK MEAT,MEAT ONLY,RAW",Non-vegetarian,Meat products,8.12,0,19.7,151.88
"CHICKEN,STEWING,DK MEAT,MEAT ONLY,COOKED,STEWED",Non-vegetarian,Meat products,15.28,0,28.14,250.08
"CHICKEN,CAPONS,MEAT&SKIN&GIBLETS&NECK,RAW",Non-vegetarian,Meat products,16.9,0.08,18.51,226.46
"CHICKEN,CAPONS,MEAT&SKIN&GIBLETS&NECK,COOKED,ROASTED",Non-vegetarian,Meat products,11.67,0.04,28.35,218.59
"CHICKEN,CAPONS,MEAT&SKIN,RAW",Non-vegetarian,Meat products,17.07,0,18.77,228.71
"CHICKEN,CAPONS,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,11.65,0,28.96,220.69
"CHICKEN,CAPONS,GIBLETS,RAW",Non-vegetarian,Meat products,5.18,1.42,18.28,125.42
"CHICKEN,CAPONS,GIBLETS,COOKED,SIMMERED",Non-vegetarian,Meat products,5.4,0.76,26.39,157.2
"DUCK,DOMESTICATEDESTICATED,MEAT&SKIN,RAW",Non-vegetarian,Meat products,39.34,0,11.49,400.02
"DUCK,DOMESTICATEDESTICATED,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,28.35,0,18.99,331.11
"DUCK,DOMESTICATEDESTICATED,MEAT ONLY,RAW",Non-vegetarian,Meat products,5.95,0,18.28,126.67
"DUCK,DOMESTICATEDESTICATED,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,11.2,0,23.48,194.72
"DUCK,DOMESTICATEDESTICATED,LIVER,RAW",Non-vegetarian,Meat products,4.64,3.53,18.74,130.84
"DUCK,WILD,MEAT&SKIN,RAW",Non-vegetarian,Meat products,15.2,0,17.42,206.48
"DUCK,WILD,BREAST,MEAT ONLY,RAW",Non-vegetarian,Meat products,4.25,0,19.85,117.65
"GOOSE,DOMESTICATEDESTICATED,MEAT&SKIN,RAW",Non-vegetarian,Meat products,33.62,0,15.86,366.02
"GOOSE,DOMESTICATEDESTICATED,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,21.92,0,25.16,297.92
"GOOSE,DOMESTICATEDESTICATED,MEAT ONLY,RAW",Non-vegetarian,Meat products,7.13,0,22.75,155.17
"GOOSE,DOMESTICATEDESTICATED,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,12.67,0,28.97,229.91
"GOOSE,LIVER,RAW",Non-vegetarian,Meat products,4.28,6.32,16.37,129.28
"GUINEA HEN,MEAT&SKIN,RAW",Non-vegetarian,Meat products,6.45,0,23.4,151.65
"GUINEA HEN,MEAT ONLY,RAW",Non-vegetarian,Meat products,2.47,0,20.64,104.79
"PHEASANT,RAW,MEAT&SKIN",Non-vegetarian,Meat products,9.29,0,22.7,174.41
"PHEASANT,RAW,MEAT ONLY",Non-vegetarian,Meat products,3.64,0,23.57,127.04
"PHEASANT,BREAST,MEAT ONLY,RAW",Non-vegetarian,Meat products,3.25,0,24.37,126.73
"PHEASANT,LEG,MEAT ONLY,RAW",Non-vegetarian,Meat products,4.3,0,22.2,127.5
"QUAIL,MEAT AND SKIN,RAW",Non-vegetarian,Meat products,12.05,0,19.63,186.97
"QUAIL,MEAT ONLY,RAW",Non-vegetarian,Meat products,4.53,0,21.76,127.81
"QUAIL,BREAST,MEAT ONLY,RAW",Non-vegetarian,Meat products,2.99,0,22.59,117.27
"SQUAB,(PIGEON),MEAT&SKIN,RAW",Non-vegetarian,Meat products,23.8,0,18.47,288.08
"SQUAB,(PIGEON),MEAT ONLY,RAW",Non-vegetarian,Meat products,7.5,0,17.5,137.5
"SQUAB,(PIGEON),LT MEAT WO/SKN,RAW",Non-vegetarian,Meat products,4.52,0,21.76,127.72
"TURKEY,ALL CLASSES,MEAT&SKIN&GIBLETS&NECK,RAW",Non-vegetarian,Meat products,7.77,0.08,20.37,151.73
"TURKEY,ALL CLASSES,MEAT&SKIN&GIBLETS&NECK,COOKED,ROASTED",Non-vegetarian,Meat products,9.45,0.07,27.98,197.25
"TURKEY,ALL CLASSES,MEAT&SKIN,RAW",Non-vegetarian,Meat products,8.02,0,20.42,153.86
"TURKEY,ALL CLASSES,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,9.73,0,28.1,199.97
"TURKEY,ALL CLASSES,MEAT ONLY,RAW",Non-vegetarian,Meat products,2.86,0,21.77,112.82
"TURKEY,ALL CLASSES,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,4.97,0,29.32,162.01
"TURKEY,ALL CLASSES,SKN ONLY,RAW",Non-vegetarian,Meat products,36.91,0,12.71,383.03
"TURKEY,ALL CLASSES,SKN ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,39.66,0,19.7,435.74
"TURKEY,ALL CLASSES,GIBLETS,RAW",Non-vegetarian,Meat products,4.2,2.09,19.36,123.6
"TURKEY,ALL CLASSES,GIBLETS,COOKED,SIMMERED,SOME GIBLET FAT",Non-vegetarian,Meat products,5.09,2.09,26.57,160.45
"TURKEY,GIZZARD,ALL CLASSES,RAW",Non-vegetarian,Meat products,3.7,0.62,19.1,112.18
"TURKEY,GIZZARD,ALL CLASSES,COOKED,SIMMERED",Non-vegetarian,Meat products,3.88,0.6,29.43,155.04
"TURKEY,HEART,ALL CLASSES,RAW",Non-vegetarian,Meat products,6.99,0.65,18.05,137.71
"TURKEY,HEART,ALL CLASSES,COOKED,SIMMERED",Non-vegetarian,Meat products,6.1,2.05,26.76,170.14
"TURKEY,LIVER,ALL CLASSES,RAW",Non-vegetarian,Meat products,3.97,4.13,20.02,132.33
"TURKEY,LIVER,ALL CLASSES,COOKED,SIMMERED",Non-vegetarian,Meat products,5.95,3.43,23.97,163.15
"TURKEY,ALL CLASSES,NECK,MEAT ONLY,RAW",Non-vegetarian,Meat products,5.42,0,20.14,129.34
"TURKEY,ALL CLASSES,NECK,MEAT ONLY,COOKED,SIMMERED",Non-vegetarian,Meat products,7.26,0,26.84,172.7
"TURKEY,ALL CLASSES,LT MEAT,MEAT&SKIN,RAW",Non-vegetarian,Meat products,7.36,0,21.64,152.8
"TURKEY,ALL CLASSES,LT MEAT,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,8.33,0,28.57,189.25
"TURKEY,ALL CLASSES,DK MEAT,MEAT&SKIN,RAW",Non-vegetarian,Meat products,8.8,0,18.92,154.88
"TURKEY,ALL CLASSES,DK MEAT,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,11.54,0,27.49,213.82
"TURKEY,ALL CLASSES,LT MEAT,RAW",Non-vegetarian,Meat products,1.56,0,23.56,108.28
"TURKEY,ALL CLASSES,LT MEAT,COOKED,ROASTED",Non-vegetarian,Meat products,3.22,0,29.9,148.58
"TURKEY,ALL CLASSES,DK MEAT,RAW",Non-vegetarian,Meat products,4.38,0,20.07,119.7
"TURKEY,ALL CLASSES,DK MEAT,COOKED,ROASTED",Non-vegetarian,Meat products,7.22,0,28.57,179.26
"TURKEY,ALL CLASSES,BACK,MEAT&SKIN,RAW",Non-vegetarian,Meat products,13.11,0,18.11,190.43
"TURKEY,ALL CLASSES,BACK,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,14.38,0,26.59,235.78
"TURKEY,ALL CLASSES,BREAST,MEAT&SKIN,RAW",Non-vegetarian,Meat products,7.02,0,21.89,150.74
"TURKEY,ALL CLASSES,BREAST,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,7.41,0,28.71,181.53
"TURKEY,ALL CLASSES,LEG,MEAT&SKIN,RAW",Non-vegetarian,Meat products,6.72,0,19.54,138.64
"TURKEY,ALL CLASSES,LEG,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,9.82,0,27.87,199.86
"TURKEY,ALL CLASSES,WING,MEAT&SKIN,RAW",Non-vegetarian,Meat products,12.32,0,20.22,191.76
"TURKEY,ALL CLASSES,WING,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,12.43,0,27.38,221.39
"TURKEY,FRYER-ROASTERS,MEAT&SKIN&GIBLETS&NECK,RAW",Non-vegetarian,Meat products,4.25,0.05,22.15,127.05
"TURKEY,FRYER-ROASTERS,MEAT&SKIN&GIBLETS&NECK,COOKED,ROASTED",Non-vegetarian,Meat products,5.64,0.04,28.08,163.24
"TURKEY,FRYER-ROASTERS,MEAT&SKIN,RAW",Non-vegetarian,Meat products,4.25,0,22.37,127.73
"TURKEY,FRYER-ROASTERS,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,5.72,0,28.26,164.52
"TURKEY,FRYER-ROASTERS,MEAT ONLY,RAW",Non-vegetarian,Meat products,1.58,0,22.32,103.5
"TURKEY,FRYER-ROASTERS,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,2.63,0,29.56,141.91
"TURKEY,FRYER-ROASTERS,SKN ONLY,RAW",Non-vegetarian,Meat products,23.54,0,16.6,278.26
"TURKEY,FRYER-ROASTERS,SKN ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,23.28,0,20.94,293.28
"TURKEY,FRYER-ROASTERS,LT MEAT,MEAT&SKIN,RAW",Non-vegetarian,Meat products,3.81,0,23.09,126.65
"TURKEY,FRYER-ROASTERS,LT MEAT,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,4.58,0,28.77,156.3
"TURKEY,FRYER-ROASTERS,DK MEAT,MEAT&SKIN,RAW",Non-vegetarian,Meat products,4.79,0,20.06,123.35
"TURKEY,FRYER-ROASTERS,DK MEAT,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,7.06,0,27.69,174.3
"TURKEY,FRYER-ROASTERS,LT MEAT,MEAT ONLY,RAW",Non-vegetarian,Meat products,0.49,0,24.18,101.13
"TURKEY,FRYER-ROASTERS,LT MEAT,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,1.18,0,30.19,131.38
"TURKEY,FRYER-ROASTERS,DK MEAT,MEAT ONLY,RAW",Non-vegetarian,Meat products,2.67,0,20.46,105.87
"TURKEY,FRYER-ROASTERS,DK MEAT,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,4.31,0,28.84,154.15
"TURKEY,FRYER-ROASTERS,BACK,MEAT&SKIN,RAW",Non-vegetarian,Meat products,7.27,0,19.89,144.99
"TURKEY,FRYER-ROASTERS,BACK,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,10.24,0,26.15,196.76
"TURKEY,FRYER-ROASTERS,BACK,MEAT ONLY,RAW",Non-vegetarian,Meat products,3.51,0,20.66,114.23
"TURKEY,FRYER-ROASTERS,BACK,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,5.64,0,28.02,162.84
"TURKEY,FRYER-ROASTERS,BREAST,MEAT&SKIN,RAW",Non-vegetarian,Meat products,2.65,0,23.76,118.89
"TURKEY,FRYER-ROASTERS,BREAST,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,3.2,0,29.07,145.08
"TURKEY,FRYER-ROASTERS,BREAST,MEAT ONLY,RAW",Non-vegetarian,Meat products,0.65,0,24.6,104.25
"TURKEY,FRYER-ROASTERS,BREAST,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,0.74,0,30.06,126.9
"TURKEY,FRYER-ROASTERS,LEG,MEAT&SKIN,RAW",Non-vegetarian,Meat products,3.57,0,20.13,112.65
"TURKEY,FRYER-ROASTERS,LEG,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,5.41,0,28.49,162.65
"TURKEY,FRYER-ROASTERS,LEG,MEAT ONLY,RAW",Non-vegetarian,Meat products,2.37,0,20.35,102.73
"TURKEY,FRYER-ROASTERS,LEG,MEAT ONLY,COOKED,ROASTED",Non-vegetarian,Meat products,3.77,0,29.19,150.69
"TURKEY,FRYER-ROASTERS,WING,MEAT&SKIN,RAW",Non-vegetarian,Meat products,7.72,0,20.85,152.88
"TURKEY,FRYER-ROASTERS,WING,MEAT&SKIN,COOKED,ROASTED",Non-vegetarian,Meat products,9.87,0,27.65,199.43
"TURKEY,FRYER-ROASTERS,WING,MEAT ONLY,RAW",Non-vegetarian,Meat products,1.12,0,22.49,100.04
